# AC,AB,DC
4.519869988844786235e+02 3.012660138854086540e+02 2.999981275193545684e+02
4.509267168370959666e+02 3.004103726844786024e+02 2.991722109268366694e+02
4.527903711499550923e+02 3.013880622724245768e+02 3.021698602272214202e+02
4.454667736957367765e+02 2.950665130402558702e+02 3.021371017872904758e+02
4.542818282400914995e+02 3.028463995549140577e+02 3.032811558842134900e+02
4.485392160159363470e+02 2.983448371931111751e+02 3.030858117495285455e+02
4.548962038527241702e+02 3.041235203690994240e+02 2.987025994625362841e+02
4.577143228286682302e+02 3.078014317188596465e+02 3.010025477032613139e+02
4.484461259515766756e+02 2.977718510788590152e+02 3.019866541093492174e+02
4.483102514696878416e+02 2.990643173760985292e+02 2.974377588107355450e+02
4.494184470094252788e+02 2.996927799499313210e+02 2.986043056432653771e+02
4.509477090503397676e+02 2.996258879966466111e+02 2.990287760013422371e+02
4.488596800821858324e+02 2.997361450193722021e+02 2.988525986436931703e+02
4.493078058505626018e+02 2.999698774147823883e+02 3.004418312094881003e+02
4.473717591685261823e+02 2.992764302174759337e+02 2.990147030425309822e+02
4.499251628490910093e+02 3.009111578947571388e+02 2.988055892515159258e+02
4.509920633920037289e+02 3.029407469724848170e+02 2.989809911674860814e+02
4.478644953561961870e+02 2.986443385404553510e+02 2.984740732147266158e+02
